id_componente,nivel,tipo_componente,codigo,nome,departamento,codigo_antigo,ch_total,cr_total,ch_aula,ch_laboratorio,ch_estagio,ch_dedicada_docente,ch_ead,equivalencia,pre_requisito,co_requisito,ementa,bibliografia,curso,ativo,num_unidades,tem_orientador,aceita_subturma,permite_horario_flexivel,permite_horario_docente_flexivel,conteudo_variavel,eminentemente_pratica
"36264","M","DISCIPLINA","TE2022","ESCRITA CRIATIVA & OUTRAS CRIATIVAS ATIVIDADES","CODAP",,"45","3","20","25","0","45","0",,,,"O curso propõe a escrita como um eixo central que se desdobra em outras artes. Através de exercícios práticos, busca-se romper o bloqueio criativo e explorar a materialidade da palavra em diálogo com o desenho, a colagem, a fotografia e o bordado, transformando ideias em objetos artísticos palpáveis.",,"ENSINO MÉDIO","t",,"f","f","f","f","f","f"
"35895","M","DISCIPLINA","TE20251","LITERATURA BRASILEIRA CONTEMPORÂNEA: DIÁLOGOS POSSÍVEIS","CODAP",,"45","3","25","20","0","45","0",,,,"Análise crítica da literatura brasileira produzida a partir da segunda metade do século XX até a atualidade. Principais autores, obras e movimentos. Relações intertextuais e diálogos com outras literaturas, linguagens artísticas e contextos socioculturais. Questões de identidade, diversidade, memória e resistência na produção literária contemporânea.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36254","M","DISCIPLINA","TE20261","EDUCAÇÃO, ESTUDOS E PESQUISAS CRÍTICAS","CODAP",,"45","3","45","0","0","45","0",,,,"O curso propõe uma imersão nas principais correntes do pensamento crítico aplicadas à educação. O foco reside na análise das instituições escolares e das práticas educativas não apenas como locais de transmissão de saber, mas como espaços de disputa política, social e identitária.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36256","M","DISCIPLINA","TE20263","BORDADO LIVRE","CODAP",,"45","3","45","0","0","45","0",,,,"A disciplina aborda o bordado não apenas como técnica artesanal, mas como suporte de expressão contemporânea. O foco está na liberdade de criação sobre o tecido, permitindo que o aluno desenvolva texturas e narrativas visuais a partir de pontos fundamentais e experimentações cromáticas.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36257","M","DISCIPLINA","TE20264","SERGIPANIDADE","CODAP",,"45","3","45","0","0","45","0",,,,"O curso explora os elementos materiais e imateriais que formam o ""ser sergipano"". A disciplina analisa as matrizes indígenas, africanas e europeias na formação do estado, as festas populares, o patrimônio histórico e a produção artística contemporânea, incentivando o reconhecimento e a valorização do pertencimento local.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36258","M","DISCIPLINA","TE20265","O MOVIMENTO E O EQUILÍBRIO DOS CORPOS","CODAP",,"45","3","45","0","0","45","0",,,,"A disciplina estuda as leis que regem o comportamento dos corpos sólidos em relação ao tempo e ao espaço. Abrange desde a descrição geométrica do movimento (cinemática) até a análise das forças causadoras dessas mudanças e as condições necessárias para a estabilidade (equilíbrio).",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36259","M","DISCIPLINA","TE20266","AMÉFRICA E LINGUAGENS EM MOVIMENTO: FALA, ESCRITA E MÚSICA","CODAP",,"45","3","45","0","0","45","0",,,,"A disciplina investiga as dinâmicas culturais das Américas por meio de suas múltiplas linguagens. Analisa como a oralidade, a literatura e a sonoridade operam como fluxos em constante movimento, refletindo as tensões entre colonização, hibridismo e as subjetividades contemporâneas no continente.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36260","M","DISCIPLINA","TE20267","MEIO AMBIENTE E EDUCAÇÃO AMBIENTAL","CODAP",,"45","3","45","0","0","45","0",,,,"A disciplina aborda a complexidade das relações entre sociedade e natureza. O foco está na transição de uma visão puramente preservacionista para uma perspectiva crítica e emancipatória da Educação Ambiental, compreendendo o meio ambiente como um campo de direitos, ética e sustentabilidade.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36261","M","DISCIPLINA","TE20268","CONSCIÊNCIA ALIMENTAR","CODAP",,"45","3","45","0","0","45","0",,,,"A disciplina propõe uma reflexão crítica sobre o ato de comer na contemporaneidade. Aborda a alimentação não apenas como ingestão de nutrientes, mas como um fenômeno cultural, emocional e político. O curso busca promover a autonomia alimentar por meio do autoconhecimento e da compreensão da origem e do impacto dos alimentos.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36262","M","DISCIPLINA","TE20269","O ROMANTISMO E SUAS REVERBERAÇÕES","CODAP",,"45","3","45","0","0","45","0",,,,"A disciplina investiga o movimento romântico em suas dimensões estéticas, políticas e subjetivas. O foco recai sobre a primazia do ""eu"", a exaltação da natureza e do nacionalismo, além de rastrear como essa sensibilidade se desdobra em manifestações modernas e contemporâneas, como o gótico, o sentimentalismo e a cultura pop.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35896","M","DISCIPLINA","TE21251","EDUCAÇÃO AMBIENTAL CRÍTICA","CODAP",,"45","3","25","20","0","45","0",,,,"Estudo dos fundamentos teóricos e práticos da Educação Ambiental em perspectiva crítica. Relações entre sociedade, natureza e desenvolvimento sustentável. Políticas públicas, legislação ambiental e cidadania. Análise de práticas pedagógicas voltadas à formação de sujeitos conscientes, capazes de intervir nos problemas socioambientais locais e globais.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35897","M","DISCIPLINA","TE22251","PROJETOS DE EDUCAÇÃO AMBIENTAL","CODAP",,"45","3","25","20","0","45","0",,,,"Planejamento, elaboração, execução e avaliação de projetos voltados à Educação Ambiental. Metodologias participativas e interdisciplinares. Envolvimento da comunidade escolar e local. Desenvolvimento de práticas que promovam a sustentabilidade, a cidadania ambiental e a transformação social.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
